,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
182,근혜유치원,경기도 오산시 원동 752-2번지 근혜유치원,Y,1,5,37.147748,127.0718215
183,대일유치원,경기도 오산시 원동 807번지 동부삼환아파트,Y,1,6,37.13354976,127.0705773
184,예인유치원,경기도 오산시 부산동 779-1번지 오산운암3단지주공아파트,Y,1,6,37.15362697,127.0782193
185,고천초등학교,경기도 의왕시 고천동 296-1번지,Y,,6~14,37.348968,126.975635
186,왕곡초등학교,경기도 의왕시 왕곡동 604번지,Y,,8~20,37.345181,126.980489
187,부곡초등학교,경기도 의왕시 삼동 158-3번지,Y,,9~12,37.316306,126.949477
188,덕성초등학교,경기도 의왕시 삼동 263번지,Y,,10~25,37.321582,126.958202
189,오전초ㆍ모락초ㆍ해나라유치원,경기도 의왕시 오전동 848번지,Y,,9~15,37.354950,126.972468
190,의왕초등학교,경기도 의왕시 오전동 27-5번지,Y,,17~33,37.363725,126.968135
191,백운초등학교,경기도 의왕시 내손동 622번지,Y,,8~25,37.385697,126.974819
192,갈뫼초등학교,경기도 의왕시 내손동 780번지,Y,,16~25,37.376794,126.972229
193,덕장초등학교,경기도 의왕시 청계동 975번지,Y,,8~20,37.392216,126.997077
194,공룡나라어린이집,경기도 포천시 신읍동 116-19,Y,4,6,37.8948045,127.1946037
195,동심유치원,경기도 포천시 선단동 857-1,Y,4,7,37.8559748,127.1513576
196,세화유치원,경기도 포천시 소흘읍 송우리 392-13,Y,3,7,37.8276192,127.1374718
197,자연과동화어린이집,경기도 포천시 영중면 양문리 857-5,Y,4,7,38.0061918,127.2411301
198,송우어린이집,경기도 포천시 소흘읍 송우리 222-66,Y,4,6,37.8311124,127.1463691
199,양문어린이집,경기도 포천시 영중면 양문리 806,Y,4,6,38.0014214,127.2404801
200,한우리유치원,경기도 의왕시 왕곡동 296-2번지,Y,,10,37.346712,126.978155
201,자연유치원,경기도 의왕시 왕곡동 602-1번지,Y,,12,37.343815,126.978889
202,성결어린이집,경기도 의왕시 삼동 208-35번지,Y,,8,37.320449,126.954746
203,꿈나무어린이집,경기도 의왕시 오전동 19번지,Y,,8,37.367779,126.965922
204,리틀훼밀리ㆍ숲속어린이집,경기도 의왕시 왕곡동 19-1번지,Y,,12,37.345921,126.996402
205,시립왕곡어린이집,경기도 의왕시 왕곡동 591번지,N,,8,37.347612,126.979839
206,지구촌어린이집,경기도 의왕시 오전동 468-1번지,N,,8,37.354041,126.986338
207,백운호수초등학교,경기도 의왕시 학의동 706-3번지,N,,11,37.370678,127.006002
208,내손ㆍ내동초등학교,경기도 의왕시 내손동 849-1번지,Y,,20~25,37.388861,126.981982
209,포일초등학교,경기도 의왕시 포일동 647번지,Y,,20~22,37.399582,126.985639
210,장기어린이집,경기도 김포시 장기동 1598번지 초당마을주공아파트,N,0,7,37.64337664,126.6690025
211,풍산초등학교,경기도 하남시 덕풍동 730번지,Y,8, ,37.5541757,127.2013364
212,미사중앙초등학교,경기도 하남시 망월동 43-1,Y,9, ,37.5591957,127.1993833
213,청아초등학교,경기도 하남시 풍산동 561번지,Y,4, ,37.558431,127.195309
214,금란초교,경기도 김포시 고촌읍 풍곡리 466-2번지,Y,1,8,37.60765658,126.7511373
215,금파초교,경기도 김포시 북변동 809번지,Y,1,12,37.62424159,126.7167792
216,나비초,경기도 김포시 구래동 6893-5번지,Y,1,15,37.64026769,126.6259956
217,시립영북꿈나무어린이집,경기도 포천시 영북면 운천리 545-3,Y,4,5,38.0870167,127.2727191
218,시립일동어린이집,경기도 포천시 일동면 기산리 91-44,Y,3,7,37.9590762,127.3172859
219,호산나어린이집,경기도 포천시 신읍동 210-42,Y,3,7,37.9026715,127.2056582
220,글사랑어린이집,경기도 포천시 소흘읍 송우리 572-25,Y,4,6,37.8334046,127.1355084
221,에셀어린이집,경기도 포천시 소흘읍 이동교리 147,Y,3,6,37.8188290,127.1356193
222,쟈니어린이집,경기도 포천시 신읍동 220,Y,3,6,37.9016750,127.2026010
223,몬테소리어린이집,경기도 포천시 영북면 운천리 511-14,Y,4,6,38.0889546,127.2737258
224,신풍초교,경기도 김포시 풍무동 19-5번지,Y,1,5,37.61302763,126.7265847
225,옹정초교,경기도 김포시 통진읍 옹정리 167-44번지,Y,1,6,37.69409118,126.5638952
226,월곶초교,경기도 김포시 월곶면 군하리 84-1번지,Y,1,8,37.71771201,126.5521777
227,장기초교,경기도 김포시 장기동 1639번지,Y,1,17,37.6424329,126.6644191
228,풍무초교,경기도 김포시 풍무동 136-10번지,Y,2,9,37.6050882,126.7266294
229,학운초교,경기도 김포시 양촌읍 학운리 2825번지,Y,2,8,37.62029834,126.624863
230,보름초교,경기도 김포시 고촌읍 신곡리 886,N,0,12,37.59446381,126.7624397
231,내촌꿈나무어린이집,경기도 포천시 내촌면 내리 325,Y,3,7,37.7889587,127.2298078
232,꼬마등대어린이집,경기도 포천시 군내면 하성북리 646,Y,4,6,37.8937064,127.2106014
233,통진초교,경기도 김포시 통진읍 서암리 1108번지,Y,1,10,37.69388669,126.5944192
234,가람어린이집,경기도 화성시 봉담읍 상리 11-60번지,Y,,7,37.218164,126.951023
235,남양영재어린이집,경기도 화성시 남양읍 남양리 176-4번지,Y,,5,37.211357,126.809661
236,대양초등학교,경기도 화성시 남양읍 남양리 2311번지,Y,,9,37.20021216,126.8217469
237,하길유치원,경기도 화성시 향남읍 하길리 1521번지,Y,,9,37.11225755,126.9020516
238,통통어린이집,경기도 화성시 정남면 덕절리 443번지,Y,,5,37.138364,127.026236
239,보림어린이집,경기도 화성시 봉담읍 동화리 438-1번지,Y,,10,37.222129,126.956255
240,하길초등학교,경기도 화성시 향남읍 하길리 1-9번지,Y,,12~18,37.115909,126.905184
241,썬샤인유치원,경기도 화성시 새솔동,Y,,8,37.27824056,126.8241012
242,그림나라어린이집,경기도 김포시 걸포동 18번지,Y,1,3,37.64590507,126.7002432
243,늘푸른어린이집,경기도 김포시 걸포동 36-1번지,Y,1,10,37.6437917,126.6957023
244,벧엘어린이집,경기도 김포시 하성면 석탄리 324-31번지,N,0,3,37.72570327,126.6501765
245,북변어린이집,경기도 김포시 북변동 805번지,Y,2,12,37.62486108,126.7145657
246,서암어린이집,경기도 김포시 통진읍 서암리 799-24번지,Y,1,7,37.69559283,126.6015579
247,경기어린이집,경기도 용인시 처인구 이동읍 천리 97-1번지,Y,1,6,37.1894965,127.2148837
248,삼성열린생태 어린이집,경기도 용인시 수지구 풍덕천동 1168번지,Y,1,20,37.3177911,127.0967195
249,루소의숲어린이집,경기도 용인시 처인구 양지면 양지리 315-3번지,Y,1,6~12,37.2435549,127.2822769
250,세움어린이집,경기도 용인시 처인구 포곡읍 금어리 86-1번지,Y,1,7,37.2927100,127.2643799
251,원삼시립어린이집,경기도 용인시 처인구 원삼면 고당리 67-1번지,Y,1,5~8,37.1651576,127.3106321
252,청덕꼬마천사어린이집,경기도 용인시 기흥구 청덕동 311번지,Y,1,3,37.2974128,127.1548366
253,천사들의합창유치원,경기도 용인시 기흥구 동백동 431-22번지,Y,1,4,37.2875433,127.1558313
254,풀꽃무리어린이집,경기도 용인시 기흥구 하갈동 35(하갈동),Y,1,6,37.2533669,127.1009384
255,신갈어린이집,경기도 용인시 기흥구 신갈동 720번지,Y,1,15,37.2879068,127.1116933
256,하피슐레어린이집,경기도 용인시 기흥구 중동 634-3번지 효성빌딩,N,1,8,37.2790103,127.1431036
